STATION_LINE,DAILY_ENTRIES,MIN_HOSP_DIST
GRD CNTRL-42 ST-4567S,220779.3725,1
34 ST-HERALD SQ-BDFMNQRW,187783.5425,2
42 ST-PORT AUTH-ACENQRS1237W,146108.2026,3
34 ST-PENN STA-ACE,121710.9804,4
PATH NEW WTC-1,107958.549,5
14 ST-UNION SQ-LNQR456W,102984.9935,6
47-50 STS ROCK-BDFM,99652.1634,7
TIMES SQ-42 ST-1237ACENQRSW,94478.05882,8
FULTON ST-2345ACJZ,92601.87582,9
59 ST COLUMBUS-ABCD1,90106.64706,10
CANAL ST-JNQRZ6W,83409.64052,11
34 ST-PENN STA-123ACE,79303.8366,12
JKSN HT-ROOSVLT-EFMR7,78498.4902,13
FLUSHING-MAIN-7,78413.86275,14
W 4 ST-WASH SQ-ABCDEFM,75584.64052,15
86 ST-456,67506.57516,16
42 ST-BRYANT PK-BDFM7,65573.30065,17
59 ST-456NQRW,63799.72549,1
72 ST-123,62668.05882,2
JAY ST-METROTEC-ACF,59761.23529,3
LEXINGTON AV/53-EM6,59244.90196,4
34 ST-PENN STA-123,57883.54902,5
96 ST-123,55712.37908,6
57 ST-7 AV-NQRW,54869.12418,7
JAMAICA CENTER-EJZ,53169.83007,8
14 ST-UNION SQ-456LNQRW,50198.52288,9
23 ST-6,49352.66013,10
JOURNAL SQUARE-1,49183.47059,11
DELANCEY/ESSEX-FJMZ,48543.58824,12
72 ST-2 AVE-Q,48219.24183,13
125 ST-456,48117.91447,14
125 ST-ACBD,46244.79085,15
23 ST-FM,45967.7451,16
BOROUGH HALL-2345R,45121.43791,17
CHAMBERS ST-ACE23,44235.66667,1
WALL ST-45,43850.56209,2
FULTON ST-ACJZ2345,42051.64052,3
86 ST-2 AVE-Q,41588.33333,4
FOREST HILLS 71-EFMR,41170.15686,5
CROWN HTS-UTICA-34,40795.33987,6
23 ST-CE,40627.66667,7
ATL AV-BARCLAY-BDNQR2345,40356.22667,8
GRAND ST-BD,40140.37255,9
BOWLING GREEN-45,40009.45098,10
33 ST-6,39628.89542,11
THIRTY THIRD ST-1,38790.28105,12
77 ST-6,38694.2549,13
KEW GARDENS-EF,38195.8366,14
8 AV-ACEL,38155.10458,15
SUTPHIN-ARCHER-EJZ,37898.84868,16
145 ST-ABCD,37883.66667,17
5 AV/53 ST-EM,37750.10458,1
50 ST-1,37724.94118,2
EAST BROADWAY-F,37177.47712,3
14 ST-123FLM,36571.10458,4
66 ST-LINCOLN-1,36347.26144,5
B'WAY-LAFAYETTE-BDFQ6,35982.45098,6
23 ST-NRW,35960.98039,7
49 ST-NQRW,35872.79085,8
CANAL ST-ACE,35527.54902,9
VERNON-JACKSON-7,35264.24837,10
231 ST-1,35210.8366,11
JUNCTION BLVD-7,35067.20915,12
68ST-HUNTER CO-6,34508.28105,13
WALL ST-23,34218.30719,14
14 ST-FLM123,34039.94118,15
SPRING ST-CE,33993.54248,16
DEKALB AV-BDNQR,33283.43137,17
LEXINGTON AV/63-F,32927.60784,1
14 ST-ACEL,32746.44444,2
TIMES SQ-42 ST-1237ACENQRS,32725.64706,3
GROVE STREET-1,32671.95425,4
MYRTLE-WYCKOFF-LM,32570.69281,5
WOODHAVEN BLVD-MR,32534.24837,6
JAMAICA 179 ST-F,32295.33987,7
3 AV-149 ST-25,32282.5098,8
103 ST-CORONA-7,32208.09804,9
ATL AV-BARCLAY-2345BDNQR,32142.58667,10
BEDFORD AV-L,31746.59477,11
51 ST-6,31113.20915,12
34 ST-HUDSON YD-7,30837.21569,13
PAVONIA/NEWPORT-1,30674.13072,14
96 ST-2 AVE-Q,30655.56863,15
KINGS HWY-BQ,30230.44371,16
28 ST-6,30069.54902,17
50 ST-CE,30048.49673,1
CORTLANDT ST-RNW,29623.62092,2
86 ST-1,29596.24183,3
23 ST-1,29442.31373,4
SOUTH FERRY-1RW,29170.11765,5
GRAND-NEWTOWN-MR,29053.45098,6
CHAMBERS ST-123,28837.24837,7
FLATBUSH AV-B.C-25,28799.13725,8
39 AV-NQW,28409.33333,9
2 AV-F,28012.69281,10
59 ST-NQR456W,27555.45098,11
ASTORIA DITMARS-NQW,27531.24183,12
61 ST WOODSIDE-7,27454.19608,13
NOSTRAND AV-AC,27393.45752,14
90 ST-ELMHURST-7,27280.91503,15
7 AV-BDE,27232.20915,16
BROOKLYN BRIDGE-456JZ,26539.09804,17
EXCHANGE PLACE-1,26488.90196,1
8 ST-NYU-NRW,26434.00654,2
86 ST-BC,26302.7451,3
CITY / BUS-1,26292.05882,4
96 ST-6,26288.01307,5
NEWARK BM BW-1,26227.8366,6
WORLD TRADE CTR-ACE23,26223.48366,7
WHITEHALL S-FRY-R1W,25737.93464,8
ASTOR PL-6,25569.18301,9
82 ST-JACKSON H-7,25512.37908,10
UTICA AV-AC,25506.14379,11
30 AV-NQW,25089.96732,12
57 ST-F,25011.6732,13
168 ST-AC1,24901.02649,14
SHEEPSHEAD BAY-BQ,24849.45098,15
79 ST-1,24715.20261,16
CHRISTOPHER ST-1,24540.50327,17
QUEENSBORO PLZ-7NQW,24513.56209,1
BLEECKER ST-6DF,24171.43791,2
63 DR-REGO PARK-MR,24084.65359,3
MARCY AV-JMZ,24027.89542,4
PARKCHESTER-6,23937.73856,5
CHURCH AV-BQ,23877.09272,6
111 ST-7,23492.96078,7
5 AV/59 ST-NQRW,23424.42484,8
FRANKLIN ST-1,23424.40523,9
116 ST-6,23387.69935,10
125 ST-23,23331.33987,11
HOUSTON ST-1,23128.96732,12
1 AV-L,23015.99346,13
TIMES SQ-42 ST-ACENQRS1237W,22727.0719,14
161/YANKEE STAD-BD4,22643.22222,15
STEINWAY ST-MR,22390.56209,16
EUCLID AV-AC,22345.46405,17
145 ST-1,22301.61438,1
59 ST COLUMBUS-1ABCD,22254.88889,2
METS-WILLETS PT-7,22253.78431,3
36 ST-DNR,22211.35948,4
FRANKLIN AV-2345S,22125.88235,5
5 AVE-7BDFM,21750.26144,6
116 ST-COLUMBIA-1,21687.24837,7
135 ST-23,21612.12418,8
28 ST-1,21597.13725,9
QUEENS PLAZA-EMR,21564.83007,10
42 ST-PORT AUTH-ACENGRS1237W,21562.54902,11
175 ST-A,21269.60784,12
8 AV-N,21219.11348,13
CHURCH AV-25,21210.39869,14
WTC-CORTLANDT-1,21074.3268,15
137 ST CITY COL-1,21057.73203,16
103 ST-6,20629.66013,17
46 ST BLISS ST-7,20538.05882,1
PRINCE ST-NRW,20490.54902,2
MYRTLE AV-JMZ,20377.47712,3
CARROLL ST-FG,20314.30719,4
81 ST-MUSEUM-BC,20173.69281,5
28 ST-NRW,19681.56209,6
116 ST-23,19673.43791,7
ELMHURST AV-MR,19474.42484,8
PELHAM PKWY-25,19370.50327,9
86 ST-R,19218.05921,10
YORK ST-F,19183.05229,11
149/GRAND CONC-245,19003.79085,12
CATHEDRAL PKWY-1,18994.9281,13
7 AV-FG,18980.62092,14
