STATION_LINE,DAILY_ENTRIES
GRD CNTRL-42 ST-4567S,220779.3725490196
34 ST-HERALD SQ-BDFMNQRW,187783.54248366013
42 ST-PORT AUTH-ACENQRS1237W,146108.2026143791
34 ST-PENN STA-ACE,121710.98039215687
PATH NEW WTC-1,107958.54901960785
14 ST-UNION SQ-LNQR456W,102984.99346405228
47-50 STS ROCK-BDFM,99652.1633986928
TIMES SQ-42 ST-1237ACENQRSW,94478.05882352941
FULTON ST-2345ACJZ,92601.87581699346
59 ST COLUMBUS-ABCD1,90106.64705882352
CANAL ST-JNQRZ6W,83409.64052287582
34 ST-PENN STA-123ACE,79303.8366013072
JKSN HT-ROOSVLT-EFMR7,78498.49019607843
FLUSHING-MAIN-7,78413.86274509804
W 4 ST-WASH SQ-ABCDEFM,75584.64052287582
86 ST-456,67506.5751633987
42 ST-BRYANT PK-BDFM7,65573.30065359476
59 ST-456NQRW,63799.72549019608
72 ST-123,62668.05882352941
JAY ST-METROTEC-ACF,59761.23529411765
LEXINGTON AV/53-EM6,59244.901960784315
34 ST-PENN STA-123,57883.549019607846
96 ST-123,55712.37908496732
57 ST-7 AV-NQRW,54869.124183006534
JAMAICA CENTER-EJZ,53169.83006535948
14 ST-UNION SQ-456LNQRW,50198.52287581699
23 ST-6,49352.660130718956
JOURNAL SQUARE-1,49183.470588235294
DELANCEY/ESSEX-FJMZ,48543.58823529412
72 ST-2 AVE-Q,48219.24183006536
125 ST-456,48117.91447368421
125 ST-ACBD,46244.790849673205
23 ST-FM,45967.74509803922
BOROUGH HALL-2345R,45121.43790849673
CHAMBERS ST-ACE23,44235.666666666664
WALL ST-45,43850.56209150327
FULTON ST-ACJZ2345,42051.640522875816
86 ST-2 AVE-Q,41588.333333333336
FOREST HILLS 71-EFMR,41170.1568627451
CROWN HTS-UTICA-34,40795.339869281044
23 ST-CE,40627.666666666664
ATL AV-BARCLAY-BDNQR2345,40356.22666666667
GRAND ST-BD,40140.37254901961
BOWLING GREEN-45,40009.450980392154
33 ST-6,39628.8954248366
THIRTY THIRD ST-1,38790.28104575163
77 ST-6,38694.25490196078
KEW GARDENS-EF,38195.836601307186
8 AV-ACEL,38155.1045751634
SUTPHIN-ARCHER-EJZ,37898.84868421053
145 ST-ABCD,37883.666666666664
5 AV/53 ST-EM,37750.1045751634
50 ST-1,37724.94117647059
EAST BROADWAY-F,37177.47712418301
14 ST-123FLM,36571.1045751634
66 ST-LINCOLN-1,36347.2614379085
B'WAY-LAFAYETTE-BDFQ6,35982.450980392154
23 ST-NRW,35960.98039215686
49 ST-NQRW,35872.790849673205
CANAL ST-ACE,35527.549019607846
VERNON-JACKSON-7,35264.248366013075
231 ST-1,35210.836601307186
JUNCTION BLVD-7,35067.209150326795
68ST-HUNTER CO-6,34508.28104575163
WALL ST-23,34218.30718954248
14 ST-FLM123,34039.94117647059
SPRING ST-CE,33993.54248366013
DEKALB AV-BDNQR,33283.43137254902
LEXINGTON AV/63-F,32927.60784313725
14 ST-ACEL,32746.444444444445
TIMES SQ-42 ST-1237ACENQRS,32725.647058823528
GROVE STREET-1,32671.95424836601
MYRTLE-WYCKOFF-LM,32570.692810457516
WOODHAVEN BLVD-MR,32534.24836601307
JAMAICA 179 ST-F,32295.339869281044
3 AV-149 ST-25,32282.50980392157
103 ST-CORONA-7,32208.098039215685
ATL AV-BARCLAY-2345BDNQR,32142.586666666666
BEDFORD AV-L,31746.59477124183
51 ST-6,31113.2091503268
34 ST-HUDSON YD-7,30837.21568627451
PAVONIA/NEWPORT-1,30674.13071895425
96 ST-2 AVE-Q,30655.56862745098
KINGS HWY-BQ,30230.443708609273
28 ST-6,30069.549019607843
50 ST-CE,30048.496732026142
CORTLANDT ST-RNW,29623.62091503268
86 ST-1,29596.24183006536
23 ST-1,29442.313725490196
SOUTH FERRY-1RW,29170.117647058825
GRAND-NEWTOWN-MR,29053.450980392157
CHAMBERS ST-123,28837.24836601307
FLATBUSH AV-B.C-25,28799.13725490196
39 AV-NQW,28409.333333333332
2 AV-F,28012.692810457516
59 ST-NQR456W,27555.450980392157
ASTORIA DITMARS-NQW,27531.24183006536
61 ST WOODSIDE-7,27454.196078431374
NOSTRAND AV-AC,27393.45751633987
90 ST-ELMHURST-7,27280.91503267974
7 AV-BDE,27232.2091503268
BROOKLYN BRIDGE-456JZ,26539.098039215685
EXCHANGE PLACE-1,26488.901960784315
8 ST-NYU-NRW,26434.006535947712
86 ST-BC,26302.745098039217
CITY / BUS-1,26292.058823529413
96 ST-6,26288.013071895424
NEWARK BM BW-1,26227.83660130719
WORLD TRADE CTR-ACE23,26223.483660130718
WHITEHALL S-FRY-R1W,25737.934640522875
ASTOR PL-6,25569.183006535946
82 ST-JACKSON H-7,25512.37908496732
UTICA AV-AC,25506.143790849674
30 AV-NQW,25089.96732026144
57 ST-F,25011.67320261438
168 ST-AC1,24901.026490066226
SHEEPSHEAD BAY-BQ,24849.450980392157
79 ST-1,24715.202614379086
